t,st
251.6,2.0
245.4,1.5
252.2,1.1
253.8,3.0
250.1,2.7
261.7,2.3
262.5,4.9
259.6,4.6
249.1,1.0
249.8,1.4
264.0,2.5
260.3,2.5
246.8,2.9
256.2,3.1
249.1,1.7
249.8,1.1
260.6,4.4
255.1,4.0
249.3,2.9
248.2,2.9
252.1,1.9
253.9,2.7
252.5,1.8
243.3,2.9
249.7,2.1
247.3,1.6
249.8,2.1
248.7,1.6
252.5,3.0
252.7,1.5
254.6,4.0
249.5,1.2
249.3,2.9
251.0,2.3
260.9,4.4
259.1,3.0
250.1,2.0
251.2,2.1
251.0,2.2
249.7,2.3
260.7,3.8
