U238Pb206,errU238Pb206,Pb207Pb206,errPb207Pb206,rho,ThU
3.41571,0.01949434,0.09721541,0.00109453,0,0.47778012
3.36923,0.01931714,0.1044567,0.00114376,0,0.52683125
3.63601,0.02047846,0.1067817,0.00115372,0,0.45164426
3.74488,0.02074589,0.09892296,0.00109059,0,0.46083225
3.46928,0.01923484,0.1036455,0.00110665,0,0.48066871
3.55003,0.01952677,0.1019784,0.00109192,0,0.48656071
3.48008,0.01922628,0.1041114,0.0011061,0,0.50367532
3.54482,0.01920737,0.1023394,0.00107745,0,0.472519
3.57385,0.01955366,0.1118609,0.00114805,0,0.49414952
3.73962,0.02009901,0.1015268,0.00107361,0,0.47315395
3.61037,0.01978382,0.1122452,0.00115407,0,0.51996456
3.42757,0.01878007,0.1093725,0.00112584,0,0.53445355
3.39308,0.01806497,0.1019894,0.00104795,0,0.54602797
3.50722,0.01879529,0.1085788,0.00110085,0,0.49805336
3.58111,0.01896953,0.1057206,0.00107509,0,0.53710452
3.61391,0.01901211,0.1037531,0.00105765,0,0.50750447
3.66353,0.01959969,0.1078678,0.001103,0,0.55603622
3.52717,0.01852258,0.1092529,0.00108354,0,0.58043729
3.67878,0.01908491,0.1044439,0.00105012,0,0.54153961
3.5606,0.01841364,0.1095761,0.00107059,0,0.51825125
3.48271,0.01785428,0.1023648,0.00101556,0,0.5232961
3.61585,0.01846483,0.102797,0.00102085,0,0.53418632
3.66106,0.01887812,0.1121789,0.00108752,0,0.48824692
3.60119,0.0184834,0.1012994,0.00101641,0,0.51501951
3.74894,0.01934753,0.1054711,0.00105376,0,0.51559494
3.3913,0.01808034,0.1068052,0.00107726,0,0.52640999
3.39096,0.0181757,0.1028924,0.0010595,0,0.53099864
3.51159,0.01896449,0.101226,0.001064,0,0.49314285
3.55058,0.01964672,0.1088717,0.00113999,0,0.51573082
3.50089,0.0197229,0.1088695,0.00115765,0,0.51862136
3.51928,0.01965948,0.1032808,0.00111386,0,0.5001628
3.52555,0.01963684,0.1049794,0.00112158,0,0.48284617
3.45406,0.01977852,0.1080797,0.00116858,0,0.52547807
3.50826,0.01990619,0.1055834,0.00114529,0,0.5042127
3.57744,0.02065566,0.1091334,0.00119243,0,0.50396393
3.59613,0.02092677,0.1128168,0.00122669,0,0.43246179
3.49331,0.02053225,0.1061301,0.00118886,0,0.48548686
3.4294,0.02002922,0.1038242,0.00116224,0,0.46156843
3.57875,0.02107992,0.1057704,0.00119408,0,0.41995527
3.27595,0.01976519,0.1037152,0.00118965,0,0.47689378
3.19012,0.01935545,0.1024977,0.00118206,0,0.45309247
3.25489,0.01990701,0.1017332,0.00119081,0,0.45805814
3.25455,0.02035973,0.1039428,0.00123335,0,0.47676214
3.33785,0.02100405,0.09894962,0.00121106,0,0.43485994
3.44769,0.02186036,0.1040402,0.00126405,0,0.43539102
3.11952,0.02016628,0.1016833,0.00124785,0,0.47097832
