Re187Os188,err,Os187Os188,err,rho
262.1,1.23,3.717,0.0125,0.525
251.98,1.61,3.5941,0.0281,0.543
304.28,1.54,4.1659,0.0164,0.596
309.84,1.56,4.2277,0.0206,0.473
319.98,1.96,4.3602,0.0256,0.661
421.9,2.38,5.4732,0.0292,0.603
405.02,1.96,5.2661,0.0223,0.479
447.17,3.28,5.7469,0.0421,0.746
443.99,2.71,5.72,0.0354,0.625
