Pb207U235,sePb207U235,Pb206U238,sePb206U238,Pb204U238,sePb204U238,Pb207Pb206,sePb207Pb206,Pb204Pb207,sePb204Pb207,Pb204Pb206,sePb204Pb206
2.8229,0.16,0.07022,0.14,0.0011468,0.17,0.29168,0.069,0.055989,0.15,0.016331,0.098
2.6401,0.16,0.06861,0.13,0.0010625,0.17,0.27921,0.072,0.055464,0.15,0.015486,0.097
1.9623,0.17,0.06232,0.14,0.0007508,0.21,0.22845,0.1,0.052734,0.226,0.012047,0.15
2.5838,0.19,0.06805,0.18,0.0010323,0.21,0.2755,0.083,0.055064,0.194,0.01517,0.13
2.2208,0.2,0.06482,0.19,0.0008678,0.21,0.24861,0.076,0.053851,0.14,0.013388,0.075
4.3988,0.11,0.08494,0.094,0.001879,0.13,0.37576,0.061,0.05887,0.13,0.022121,0.086
2.0326,0.25,0.06321,0.19,0.000782,0.26,0.23333,0.15,0.053024,0.272,0.012372,0.15
