Time [Sec],Si29,Zr91,La139,Hf178,Pb206,Pb207,Pb208,Th232,U235,U238
33.996,2314311.18,84235164.38,0,9949113.5,123724.45,6484.62,4058.84,231451.79,19832.23,2674641.86
34.468,2126802.59,77689989.24,0,9723840.84,121850.52,6601.33,3325.34,225619.88,18750.94,2740882.68
34.94,2039329.93,77151520.47,0,9759156.47,124550.66,6209.51,3642.07,222628.64,18300.42,2550231.31
35.412,2195678.17,80568420.55,0,9485325.21,121064.74,6301.21,3792.11,208693.85,17549.58,2574014.32
35.884,2608460.41,82257889.34,0,9954037.72,110832.86,5901.06,3508.71,193708.33,17469.49,2523889.7
36.356,2512521.15,83043945.61,0,10152279.91,110691.91,6151.15,3150.3,190571.23,16388.36,2464550.64
36.828,1988033.25,81237751.82,0,10216731.48,113208.99,6101.13,3333.67,192544.49,16528.5,2300390.29
37.3,2110787.74,75709295.44,0,9006629.11,108215.49,6134.48,2966.94,199832.52,16658.63,2338249.86
37.772,2097827,73989676.65,0,9269865.83,105538.13,5642.64,3208.65,176663.97,16418.38,2386923.88
38.244,2033495.16,85031208.15,0,9614498.65,104974.53,5609.29,3191.98,178584.99,16828.81,2287755.91
38.716,2246925.25,82427158.09,0,9934715.85,101915.37,5184.15,2916.93,169689.53,15317.3,2076961.37
39.188,2357364.7,77735901.74,0,9425016.62,101029.9,5500.92,3041.95,158072.2,14126.21,1996529.73
39.66,1969833.64,73537289.14,0,8984250.98,96543.04,4975.75,3058.62,157567.28,13575.73,1986014.11
40.132,2283175.64,71644195.35,400,9531948.65,95657.88,5100.79,3066.95,150197.34,13675.82,1867934.03
40.604,2211469.39,75827426.69,400,8910767.39,92238.39,4442.27,3283.66,155547.78,12725.04,1906215.47
41.076,2377575.44,81589495.57,1200.04,9161711.92,91494.25,5034.11,2900.26,151610.49,13195.42,1826830.31
41.548,2186565.87,76242570.45,1000.03,9842318.19,85562.38,5492.59,2783.57,142881.19,13005.26,1685186.76
42.02,2158434.62,76004407.95,1200.04,9034541.61,88015.29,4633.99,2866.92,152771.39,13595.75,1845918.21
42.492,2135517.43,73266026.64,1200.04,8811476.76,87934.87,5209.16,2966.94,157213.85,12935.21,1929312.93
42.964,2212611.57,72650464.12,2000.12,9421485.37,93324.5,5309.19,3216.98,148380.64,13495.67,1929937.15
43.436,2248191.46,76485870.46,1000.03,9452692.4,94491.14,5100.79,3158.64,161001,13265.48,1867564.69
43.909,1985972.51,82048826.83,600.01,9605839.28,92459.62,4942.41,2950.27,163526.25,13375.57,1841407.85
44.381,2109943.6,71510707.85,0,9732533.81,94531.37,4267.22,3191.98,159940.51,12614.95,1882828.17
44.853,1859369.38,69760382.81,400,8715207.23,90187.04,5542.6,3241.99,157011.89,12735.04,1965167.62
45.325,2076747.31,74178364.16,600.01,9389939.27,91775.8,5700.99,3408.69,157920.72,13045.3,1987359.42
45.797,2175814.89,69511157.8,1000.03,9635280.68,93264.15,5759.34,2866.92,155951.66,14746.77,1879276.02
46.269,2120123.48,75962257.95,1400.06,9110810.36,96985.62,5609.29,3342.01,172772.07,14216.29,2012461.37
46.741,2113792.23,72269764.12,800.02,8952059.58,101633.61,6017.77,3058.62,183287.39,14666.69,2066050.05
47.213,2174499.07,69595107.81,200,8743901.76,106544.61,6026.11,3166.97,180101.73,16068.03,2117792.63
47.685,2033246.92,70869139.08,1200.04,9006459.58,100124.38,5792.69,3483.7,183944.82,14896.91,2181228.76
48.157,1970479.15,74765314.17,600.01,8552619.72,100687.82,5659.31,3283.66,178584.99,14906.91,2122663.52
48.629,1983067.43,72486039.12,800.02,8633675.97,106786.16,5901.06,3550.38,181922.03,14866.88,2223431.69
49.101,2153419.19,67855145.27,400,8108118.93,114799.98,6184.5,3658.74,200642.47,16488.46,2298095.56
49.568,1931646.53,67643489.01,0,8086895.49,111195.3,5884.39,4400.59,196896.65,17439.46,2443633.84
