Time [Sec],Si29,Zr91,La139,Hf178,Pb206,Pb207,Pb208,Th232,U235,U238
0.482,66516.48,0,0,0,0,8.33,8.33,0,0,0
0.954,59493.2,0,0,0,0,8.33,16.67,0,0,0
1.426,62703.52,0,0,0,20,8.33,0,0,0,0
1.898,63907.52,0,0,0,0,8.33,16.67,0,0,0
2.37,69125.78,0,0,0,0,16.67,8.33,0,0,0
2.842,61499.59,0,0,0,60,33.33,33.33,0,0,0
3.314,62101.54,0,0,0,20,0,8.33,0,0,0
3.786,65513,0,0,0,0,0,16.67,0,0,0
4.259,57888.23,0,0,0,0,0,0,0,0,50
4.731,58289.47,200,0,0,0,0,66.67,0,10,0
5.203,56885.21,0,0,0,40,0,16.67,0,0,0
5.674,61700.22,0,0,0,40,25,33.33,0,10,0
6.147,53675.87,0,0,0,0,0,25,0,0,0
6.619,64509.56,0,0,0,0,16.67,16.67,0,0,0
7.091,65713.67,400,0,0,0,8.33,25,0,10,0
7.563,63305.51,0,0,0,0,0,33.33,0,0,0
8.035,65513,0,0,0,20,0,0,0,0,0
8.507,63104.85,0,0,0,20,0,0,100,0,0
8.979,51269.23,0,0,0,40,0,0,0,10,0
9.45,65713.67,0,0,0,0,16.67,16.67,0,10,0
9.923,60496.37,400,0,0,0,0,0,0,0,0
10.395,56484.02,0,0,0,0,8.33,0,0,0,0
10.867,59091.94,0,0,0,0,0,0,0,0,0
11.339,59693.82,0,0,200,0,0,8.33,0,0,0
11.811,58891.32,0,0,0,80,16.67,0,0,0,0
12.283,64710.24,0,0,0,40,16.67,25,0,0,0
12.755,63907.52,0,0,0,0,0,8.33,0,0,0
13.226,66516.48,0,0,0,0,25,41.67,0,0,0
13.699,71534.69,0,0,0,40,25,8.33,0,0,0
14.171,65111.61,0,0,0,0,16.67,16.67,0,0,100
14.643,66315.78,0,0,0,20,0,33.33,0,0,0
15.115,67520.01,0,0,0,0,0,8.33,0,60,0
15.587,66516.48,0,0,0,0,16.67,25,0,0,0
16.059,51269.23,0,0,0,80,16.67,8.33,0,0,0
16.531,55481.06,0,0,0,40,0,8.33,0,20,0
17.002,65513,0,0,0,0,16.67,25,0,0,0
17.475,62904.18,0,0,0,20,8.33,0,0,0,0
17.947,63104.85,0,0,0,0,16.67,25,0,10,0
18.419,66115.08,0,0,0,0,0,0,0,0,0
18.891,56283.41,0,0,0,40,0,33.33,150,10,50
19.364,61098.29,0,0,0,20,16.67,8.33,0,0,0
19.836,64108.2,0,0,0,0,0,16.67,0,30,0
20.308,61098.29,400,0,0,0,0,58.33,100,0,0
20.78,53475.31,0,0,0,0,0,25,0,0,0
21.252,61098.29,0,0,0,0,0,8.33,0,0,15957.94
21.724,280053.11,6514995.46,0,498681.21,15687.49,5817.7,12171.18,35338.74,1260.05,239120.44
22.196,2384155.13,58499720.06,0,3277116.48,37182.06,3967.15,6492.95,67641.79,2110.14,303445.42
22.668,3077529.76,82933289.35,200,4006213.76,42354.56,3350.34,4700.67,79194.3,2100.14,288421.83
23.14,2403844.58,77830014.24,0,4033209.86,41331.96,3141.97,4975.76,80651.52,2140.14,273717.32
23.612,2650123.3,90368264.52,0,4732526.28,40529.97,3091.96,4859.05,90604.23,2090.14,318533.89
24.084,2403943.8,79555495.53,0,4656529.79,41352.02,2883.59,4625.65,88391.98,2250.16,328124.52
