Time [Sec],Si29,Zr91,La139,Hf178,Pb206,Pb207,Pb208,Th232,U235,U238
0.482,60496.37,0,0,0,0,16.67,41.67,50,0,0
0.954,70129.46,0,0,0,40,16.67,16.67,0,0,0
1.426,68925.05,0,0,0,0,0,16.67,0,0,0
1.898,72538.5,0,0,0,0,0,16.67,0,0,0
2.37,73943.92,200,0,0,0,16.67,16.67,0,0,0
2.842,70932.44,200,0,0,0,0,16.67,0,0,0
3.314,70530.95,0,0,0,20,41.67,58.33,0,0,0
3.786,75349.43,0,0,0,0,8.33,25,0,0,0
4.258,64710.24,0,0,0,40,0,16.67,0,0,0
4.73,68122.16,0,0,0,0,0,25,0,0,0
5.202,80771.68,0,0,0,40,8.33,8.33,0,0,0
5.674,68322.88,0,0,0,0,8.33,8.33,0,0,0
6.146,68523.6,0,0,0,0,8.33,58.33,0,30,0
6.619,68322.88,0,0,0,20,41.67,0,0,0,0
7.091,63506.18,0,0,0,0,0,33.33,0,0,0
7.563,70731.68,0,0,0,0,16.67,25,0,20,0
8.035,67118.58,0,0,0,0,0,0,0,0,0
8.507,69326.52,0,0,0,0,0,58.33,0,0,0
8.979,69727.99,0,0,0,0,0,0,0,0,0
9.45,61700.22,0,0,0,0,0,41.67,0,0,0
9.923,69727.99,0,0,0,60,8.33,75,0,10,0
10.395,85592.78,0,0,0,20,16.67,8.33,0,0,0
10.867,66917.88,0,0,0,40,16.67,0,0,0,0
11.339,65312.31,0,0,0,0,0,0,0,0,0
11.811,75550.23,0,0,0,20,16.67,0,0,0,0
12.283,67118.58,0,0,0,0,8.33,0,0,0,0
12.755,74747.05,0,0,0,40,16.67,25,0,10,0
13.226,72940.03,0,0,0,20,0,0,0,0,0
13.699,68322.88,0,0,0,0,0,0,0,0,0
14.171,69727.99,0,0,0,40,0,16.67,0,0,0
14.643,79164.92,0,0,0,20,0,25,0,0,0
15.115,76554.24,0,0,0,0,8.33,58.33,0,0,0
15.587,79566.62,0,0,0,0,0,0,0,0,0
16.059,69125.78,0,0,0,0,0,0,0,0,0
16.531,69527.25,0,0,0,20,16.67,16.67,0,0,0
17.002,66315.78,0,0,0,0,8.33,58.33,0,10,0
17.475,64108.2,0,0,0,0,0,8.33,0,10,0
17.947,74345.47,0,0,0,0,0,8.33,0,0,0
18.419,66917.88,0,0,0,0,0,8.33,0,10,100
18.891,68523.6,0,0,0,0,25,8.33,0,0,0
19.363,69326.52,0,0,0,0,0,16.67,0,10,0
19.835,68724.33,0,0,0,20,0,25,0,0,100
20.307,72940.03,0,0,0,40,16.67,16.67,0,10,0
20.778,70932.44,0,0,0,40,8.33,0,0,0,100
21.251,61900.89,0,0,0,20,0,8.33,0,0,0
21.724,68925.05,0,0,400,80,758.35,3942.14,77234.81,11674.24,1447265.95
22.196,3590397.74,70453645.32,0,8055621.27,74006.42,3975.48,2875.25,120197,14776.79,2181219.97
22.668,2964880.54,95072427.13,200,10160124.45,80959.13,4500.62,2550.2,142628.98,16168.13,2301876.22
23.14,2500503.77,94264120.86,0,11580048.7,80255.69,4525.62,2383.51,139400.89,15637.61,2050988.91
23.612,2609428.57,90141283.26,0,11053371.34,80014.52,4183.87,2375.17,135618.8,14136.22,1951223.09
24.084,2310288.92,94072345.85,0,10568664.3,73745.25,3708.75,1933.45,132140.05,13896.01,1905881.49
24.556,2353814.12,94971752.12,0,11246622.13,75915.11,4175.53,2250.15,149440.34,14056.15,2033175.83
25.028,2823107.09,91227533.29,0,13132847.17,84979.36,4525.62,2175.14,154184.78,15247.23,2025544.19
25.5,2391951.42,106087014.9,0,12485554.19,81340.99,4458.94,2391.84,155194.39,14286.35,2099126.61
25.972,2370548.88,103264189.8,0,12294170.59,80476.76,4200.54,2191.81,156961.4,14416.47,1952489.3
26.444,2494395.95,98741008.46,0,11934154.95,80617.45,4417.26,2291.83,147169.58,14266.33,2024357.27
26.916,2538814.9,104518483.6,0,12930903.41,83652.59,4367.25,1891.78,141367.94,13685.83,1859282.46
27.388,2385942.83,99885114.73,0,12809540.13,78848.9,4133.85,2625.21,146009.09,11864.38,1884173.28
27.86,2409579.94,89228508.24,0,11259967.44,84135.03,4492.28,2108.47,142326.33,13595.75,1954370.75
28.332,2446227.59,89515627,0,12154979.96,86286.16,3925.47,1950.12,143789.24,13475.65,1908607.07
28.804,2780103.19,87301820.7,200,11433896.35,79250.82,4675.67,2375.17,145100.93,12815.11,2059587.74
29.276,2477934.24,93027952.08,0,11069976.03,78969.48,4142.19,2258.49,150298.28,13966.07,2046540.08
29.748,2598205.92,97635289.68,0,12252844.81,83431.45,4117.18,2008.46,145555,13735.87,1891734.61
30.22,2677112.56,93564789.59,0,12109001.05,86587.73,4608.98,2441.85,145100.93,13145.38,1831657.27
30.692,2409877.98,85474051.91,0,11357661.97,84617.51,4250.55,2500.19,136576.85,12254.67,1842410.2
31.164,2202257.86,87470389.46,0,11276402.6,82647.51,4483.95,2150.14,147876.03,13956.06,2024999.07
31.636,2723195.18,90597933.28,0,11584462.76,84295.86,4358.91,2500.19,142729.87,13225.44,1904465.86
32.108,2421696.54,92315889.56,0,11711870.57,84175.24,4367.25,2325.17,126545.38,12845.14,1800198.48
32.58,2444861.97,89837764.51,0,11149232.28,77442.22,4742.35,2033.46,139199.16,14196.27,1876673.48
33.052,2513365.29,80929358.06,0,11247674.47,86447,4133.85,2116.8,143789.24,13065.31,1723354.14
33.524,2218769.19,79352333.02,200,10133365.85,81602.3,4100.51,2175.14,139955.67,13755.89,1956463.32
33.996,2296632.86,81810108.08,0,10622893.99,82325.9,4333.91,2166.81,135971.77,13375.57,1962828.95
34.468,2352647.12,86478626.93,0,10707243.99,80456.67,4342.24,2266.82,140964.41,12785.09,1951715.47
34.94,2355850.05,86022476.92,0,11008988.53,81260.61,4308.9,2141.81,128057.25,12644.97,1749036.17
