Time [Sec],Si29,Zr91,La139,Hf178,Pb206,Pb207,Pb208,Th232,U235,U238
35.412,2306216.85,80164576.79,0,10693797.11,82788.22,4217.21,2416.84,146362.27,13305.51,1906391.45
35.884,2618069.2,81681851.83,0,10700724.46,82325.9,4600.65,2416.84,140964.41,12855.14,1846445.74
36.356,2340902.98,79976739.29,0,9760277.56,78527.36,4550.63,2391.84,131283.07,13675.82,1896016.45
36.829,2361958.06,82908739.35,0,10519290.86,77924.49,4150.52,2041.79,125991.06,12244.66,1734318.01
37.301,2418021.93,77272482.98,0,9847173.66,83069.64,4717.34,2191.81,136123.03,12444.82,1794123.09
37.773,2172413.33,79710470.53,0,10417147.11,76859.49,5050.78,1991.79,136072.6,12184.62,1825274.06
38.245,2341176.03,72680239.12,0,10206408.04,80979.23,4033.83,2150.14,135618.8,12274.69,1845135.78
38.717,2495190.49,75321126.68,0,9604854.9,84537.1,4350.58,1941.78,130577.38,12124.57,1842102.38
39.189,2292685.01,77766551.74,0,9689951.78,82084.7,4558.97,2200.15,130073.33,12675,1838910.78
39.661,2624946.74,81717695.58,0,10031154.91,82325.9,4525.62,2225.15,143486.55,12915.19,1744692.81
40.133,2250897.9,75193826.68,0,10334902.57,84034.52,4659,2275.16,139753.95,12965.23,1799679.73
40.605,1976140.08,79369558.02,0,9847751,83934,4358.91,2091.8,140207.86,12474.84,1814837.54
41.077,2197267.24,72131407.86,0,10069322.88,80738.04,3983.82,1991.79,135467.53,12504.86,1831929.73
41.549,2287545.56,78582126.76,0,9686250.22,80054.71,4350.58,2366.84,133753.29,11814.34,1842067.23
42.021,2277291.07,78106501.75,0,9454593.96,80135.1,4458.94,2683.55,133249.14,11934.43,1776063.71
42.493,2267980.32,74633551.67,0,9774199.44,88256.6,4717.34,2533.53,149944.99,12144.59,1819831.49
42.965,2249035.79,74172964.16,0,9574700.21,80376.27,4650.66,1983.45,143385.66,12484.85,1706525.62
43.437,2021900.05,74462295.41,0,9108840.83,84315.97,4292.23,2325.17,135366.7,12304.71,1823814.49
43.909,2214299.85,71716789.1,0,9130946.3,77703.46,4717.34,2333.5,139148.71,12845.14,1855827.19
44.381,2215665.48,76698489.21,0,9919468.97,83049.53,4642.32,2550.2,147421.88,13025.28,1899392.82
44.853,2247694.97,78831758.01,0,9820076,85944.37,4742.35,2716.89,137030.68,12745.05,1832140.67
45.325,2339487.75,74387976.66,0,9435781.46,86386.68,4608.98,2333.5,142225.43,12364.76,1781207.07
45.797,2233368.6,72776626.63,0,8668176.76,87351.78,4767.36,2825.24,145000.02,12044.51,1865085.39
46.269,2358010.21,77182632.98,0,9733620.53,85018.74,5517.59,2191.81,148380.64,12705.02,1919905.12
46.741,2291493.22,77343295.48,0,8901667.39,84959.26,4642.32,2516.86,145857.73,13515.68,1826944.57
47.213,2136311.96,79091664.27,0,9886530.69,86386.68,5050.78,2683.55,147674.17,14486.53,1934280.51
47.685,2147410.59,71360320.35,0,8894128.32,94712.42,4725.68,2758.57,145756.81,13735.87,2096093.21
48.157,2333206.11,69456982.8,0,8947577.54,92278.6,5150.81,2941.93,155648.75,13305.51,2028093.99
48.629,2124692.04,72821982.88,0,8845060.35,96502.8,5109.13,2608.54,153326.63,14356.41,2109958.64
49.101,2266316.65,74804457.92,0,9098517.39,98876.86,5359.21,2400.18,157264.33,15237.22,2131596.53
49.569,2053259.03,71056745.34,0,9377442.4,96784.44,4909.07,2450.18,154790.56,15207.19,2127798.29
