"Ns","Ni"
44,78
60,75
45,78
53,102
48,87
32,87
41,70
42,65
31,101
38,88
41,81
30,67
31,98
43,76
36,73
38,65
38,76
44,69
44,64
41,64
43,82
37,75
39,78
29,82
36,60
