Time,Si29,Zr91,La139,Hf178,Pb206,Pb207,Pb208,Th232,U235,U238
33.053,2417624.66,81404745.57,0,4729504.01,41111.41,3108.63,4650.66,80586.2092,1759.69733412,277778.7853682
33.525,2795670.96,89285195.75,0,4914944.64,42314.46,2958.6,4508.95,83391.4865,2275.51480288,269242.99578596
33.997,2432621.34,80778564.31,0,4567935.26,39507.48,2850.25,5259.18,88442.1874,1992.31931216,263948.97746792
34.469,2372460.6,81773858.08,0,5391501.68,39908.44,3108.63,5050.78,86707.42045,1790.0454868,266518.670132
34.941,2307508.06,75619095.44,0,4719045.03,38384.82,2966.94,4425.6,83340.4726,1749.58465412,253212.01139348
35.413,2437959.62,77142557.97,0,4775346.59,40810.66,3250.32,4542.3,83085.4437,2164.25509752,262099.04469016
35.885,2387333.26,76710164.21,0,4675987.21,42093.9,2908.59,4083.84,79311.2474,1385.49783608,239864.7805828
36.357,2293007.86,76025682.95,0,4722780.57,40870.81,3233.65,4425.6,81300.23125,1749.58465412,243765.11990664
36.829,2295267.24,69150307.8,0,4994336.83,38003.93,2600.21,3933.81,80433.21825,1850.7215668,236940.12273804
37.301,2163375.63,79276789.27,0,4441138.77,37001.65,3116.96,4092.18,81504.2564,1779.9328068,241045.09214168
37.773,2316247.9,73325657.89,0,4609125.49,38585.29,2916.93,4750.69,84819.8148,1850.7215668,252236.23890028
38.245,2334944,76030207.95,0,4393904,40189.13,3066.95,3958.81,78801.2911,1597.88434144,232374.60166184
38.717,2426860.99,74686532.92,0,4117899.31,36680.93,2616.88,4450.6,79311.2474,1759.69733412,248693.22101156
39.189,2282728.57,71447832.85,0,4502873.15,38444.96,3216.98,4442.27,78648.30015,1830.4962068,243559.8021646
39.661,2237862.75,71660132.85,0,4432411.82,39407.24,2991.94,4150.53,70949.9413,1992.31931216,230323.10294632
40.133,2429641.85,72756307.88,0,4682405.18,39487.43,3025.28,3858.79,75384.9838,1790.0454868,238479.3434228
40.605,2092215.67,69303557.8,0,4507117.68,36219.91,3383.68,4025.49,79209.2602,1607.99702144,231041.113339
41.077,2306018.22,74525989.17,0,4308161.82,38545.2,2816.91,4183.87,79362.241,1597.88434144,236632.32309688
41.549,2396172.32,73974845.4,0,4645629.4,36761.11,2783.57,4283.89,76863.60535,1547.31082876,245818.34789044
42.021,2283349.47,73578326.64,0,4531974.32,38725.62,2591.87,4158.86,72988.8936,1607.99702144,236940.12273804
42.493,2248688.14,70798820.33,0,4485384.87,39888.4,2975.27,4633.99,75435.96725,1668.67310144,230630.78123532
42.965,2218744.39,68729357.79,0,4094638.37,35097.48,3125.3,4417.26,74977.1162,1951.86859216,226989.94339296
43.437,2203747.51,73047739.13,0,4375940.72,39387.19,2716.89,3992.15,72122.29675,1860.84435948,234939.33911272
43.909,2115778.37,67492632.76,0,4409354.79,35538.42,2858.58,4092.18,75486.94055,1476.52206876,202960.14261356
44.381,2271679.74,66794607.74,0,4080342.28,34937.14,2450.18,4083.84,76659.6411,1881.06971948,214535.10602888
44.853,2065152.19,64846082.7,0,4334241.11,34937.14,2775.23,4167.2,73906.4942,1779.9328068,229912.80118068
45.325,2161116.26,66931689,0,4271895.41,36941.52,2541.86,4608.98,70134.4294,1597.88434144,216174.715288
45.797,2158906.49,69057657.79,0,4142009.08,37883.66,2850.25,3592.06,70287.33915,1405.72319608,215354.91065844
46.269,2067510.79,62916851.41,0,4098339.94,35037.35,2566.87,4167.2,74161.41145,1557.42350876,216277.19718712
46.742,2251469,65729988.97,0,4127339.15,38444.96,2550.2,4200.54,71918.40355,1729.35929412,207927.17753648
47.214,2178670.36,69235282.8,0,4140990.33,36981.6,2625.21,3908.8,67942.95305,1587.77166144,216482.16098536
47.686,2104605.32,65049307.7,0,3867871.57,34295.79,2908.59,3875.46,71969.387,1547.31082876,213766.60302496
48.158,2300009.62,67241482.75,0,4112466.11,35558.46,2800.24,4283.89,74875.13915,1769.8201268,216994.59070632
48.63,2182270.56,67745039.01,0,4613234.09,36099.65,2941.93,3550.38,71816.45695,1345.04711608,207722.30475236
49.102,2013706.49,61290145.12,0,4000339.15,35638.64,2725.23,3775.43,66974.7141,1466.40938876,204957.03285708
49.569,1952204.93,65067957.7,0,3899282.12,37643.1,2633.54,4158.86,71459.64385,1476.52206876,208797.83883376
