"Ns","Ni"
56,37
58,36
153,83
84,53
107,71
63,42
152,71
65,43
93,51
70,49
46,32
77,47
67,35
129,72
67,40
48,31
43,23
115,73
137,69
93,59
83,44
140,70
86,62
91,38
63,51
